CONCLIENTE,dataNascimentoCliente,sexoCliente,CONINSCRICAO,CONPRODUTO,periodicidadeCobranca,parcelamento,CONITEMCONTRATADO,codigoSistemaItemContratado,dataInicioVigenciaCobertura,prazoContribuicao,prazoCobertura,prazoDecrescimoItemContratado,prazoCertoRendaItemContratado,prazoMinimoGarantidoRendaItemContratado,indiceReajusteItemContratado,valorCapitalSeguradoItemContratadoInicial,CONITEMCONTRATADOBENEFICIARIO,percentualParticipacaoBeneficio,CONBENEFICIARIO,dataNascimentoBeneficiario,sexoBeneficiario
7590595,1994-11-22,M,16294810,1072,MENSAL,1,95826936,204377,2022-01-06,30,30,,,,IPCA,500000.0,1794426.0,40.0,3632622.0,1963-01-01,MASCULINO
7593140,1981-06-29,F,16294982,1074,ANUAL,1,95826942,204374,2022-01-06,10,9999,,,,IPCA,750000.0,1826004.0,50.0,3632694.0,1947-10-20,FEMININO
7593140,1981-06-29,F,16294982,1074,ANUAL,1,95826942,204374,2022-01-06,10,9999,,,,IPCA,750000.0,1826207.0,50.0,3632695.0,1949-08-06,MASCULINO
7590216,1969-04-09,F,16294742,895,MENSAL,1,95826958,203045,2022-02-06,9999,9999,,,,IPCA,20000.0,,,,,
7594302,1946-12-03,F,16296427,1072,MENSAL,1,95826966,204377,2022-01-26,10,10,,,,IPCA,1000000.0,1855313.0,100.0,3632864.0,1970-11-17,MASCULINO
3204909,1973-07-10,M,16294893,1073,MENSAL,1,95826967,204373,2022-01-06,15,9999,,,,IPCA,700000.0,1855677.0,100.0,3632661.0,1979-06-07,NÃO INFORMADO
1024757,1973-05-05,F,16294756,1072,MENSAL,1,95827033,204377,2022-01-06,20,20,,,,IPCA,400000.0,1887211.0,30.0,2091562.0,1944-07-06,FEMININO
1024757,1973-05-05,F,16294756,1072,MENSAL,1,95827033,204377,2022-01-06,20,20,,,,IPCA,400000.0,1887467.0,20.0,3632600.0,1971-10-06,MASCULINO
1024757,1973-05-05,F,16294756,1072,MENSAL,1,95827033,204377,2022-01-06,20,20,,,,IPCA,400000.0,1887722.0,20.0,3632601.0,2003-06-28,MASCULINO
1024757,1973-05-05,F,16294756,1072,MENSAL,1,95827033,204377,2022-01-06,20,20,,,,IPCA,400000.0,1888027.0,30.0,2091707.0,1968-02-06,MASCULINO
